symbol,window,ratio,window_start,avg_close,prev_avg_close,pct_change,industry,companyName,window_start_str,summary
CRM,1 week,0.05,2019-01-07 00:00:00+08:00,14506.446311858075,13517.91281451141,7.31,Software - Application,"Salesforce, Inc.",2019-01-07,
CRM,1 week,0.05,2019-08-05 00:00:00+08:00,14260.489545454544,15431.11282283643,-7.59,Software - Application,"Salesforce, Inc.",2019-08-05,
CRM,1 week,0.05,2019-10-28 00:00:00+08:00,15618.266208251473,14567.664953271027,7.21,Software - Application,"Salesforce, Inc.",2019-10-28,
CRM,1 week,0.05,2020-01-06 00:00:00+08:00,17623.27620783956,16435.395731707315,7.23,Software - Application,"Salesforce, Inc.",2020-01-06,
CRM,1 week,0.05,2020-02-24 00:00:00+08:00,17761.143747565253,19133.36419001218,-7.17,Software - Application,"Salesforce, Inc.",2020-02-24,
CRM,1 week,0.05,2020-03-09 00:00:00+08:00,14995.72192513369,17014.18805002316,-11.86,Software - Application,"Salesforce, Inc.",2020-03-09,
CRM,1 week,0.05,2020-03-16 00:00:00+08:00,13384.441743119267,14995.72192513369,-10.74,Software - Application,"Salesforce, Inc.",2020-03-16,
CRM,1 week,0.05,2020-03-23 00:00:00+08:00,14865.934373565857,13384.441743119267,11.07,Software - Application,"Salesforce, Inc.",2020-03-23,
CRM,1 week,0.05,2020-03-30 00:00:00+08:00,14016.424487851358,14865.934373565857,-5.71,Software - Application,"Salesforce, Inc.",2020-03-30,
CRM,1 week,0.05,2020-04-06 00:00:00+08:00,14864.81253627394,14016.424487851358,6.05,Software - Application,"Salesforce, Inc.",2020-04-06,
CRM,1 week,0.05,2020-04-13 00:00:00+08:00,15642.195424213536,14864.81253627394,5.23,Software - Application,"Salesforce, Inc.",2020-04-13,
CRM,1 week,0.05,2020-07-06 00:00:00+08:00,19864.977582846004,18816.767726161368,5.57,Software - Application,"Salesforce, Inc.",2020-07-06,
CRM,1 week,0.05,2020-07-13 00:00:00+08:00,18843.088457899717,19864.977582846004,-5.14,Software - Application,"Salesforce, Inc.",2020-07-13,
CRM,1 week,0.05,2020-08-03 00:00:00+08:00,20290.870315581855,19164.166829745594,5.88,Software - Application,"Salesforce, Inc.",2020-08-03,
CRM,1 week,0.05,2020-08-24 00:00:00+08:00,24710.19581280788,20384.17751196172,21.22,Software - Application,"Salesforce, Inc.",2020-08-24,
CRM,1 week,0.05,2020-08-31 00:00:00+08:00,26722.78149205055,24710.19581280788,8.14,Software - Application,"Salesforce, Inc.",2020-08-31,
CRM,1 week,0.05,2020-09-07 00:00:00+08:00,24815.06779661017,26722.78149205055,-7.14,Software - Application,"Salesforce, Inc.",2020-09-07,
CRM,1 week,0.05,2020-10-26 00:00:00+08:00,24041.7628959276,25348.116313454902,-5.15,Software - Application,"Salesforce, Inc.",2020-10-26,
CRM,1 week,0.05,2020-11-30 00:00:00+08:00,22991.922820823245,25512.887877063175,-9.88,Software - Application,"Salesforce, Inc.",2020-11-30,
CRM,1 week,0.05,2021-02-22 00:00:00+08:00,23285.190972222223,24720.69162011173,-5.81,Software - Application,"Salesforce, Inc.",2021-02-22,
CRM,1 week,0.05,2021-03-01 00:00:00+08:00,21144.682386134624,23285.190972222223,-9.19,Software - Application,"Salesforce, Inc.",2021-03-01,
CRM,1 week,0.05,2021-05-03 00:00:00+08:00,21885.362215909092,23436.311601150526,-6.62,Software - Application,"Salesforce, Inc.",2021-05-03,
CRM,1 week,0.05,2021-05-24 00:00:00+08:00,23114.178994687372,21962.60998151571,5.24,Software - Application,"Salesforce, Inc.",2021-05-24,
CRM,1 week,0.05,2021-08-23 00:00:00+08:00,26455.37051331532,25154.34474560152,5.17,Software - Application,"Salesforce, Inc.",2021-08-23,
CRM,1 week,0.05,2021-11-29 00:00:00+08:00,27049.373989713447,29147.452081956377,-7.2,Software - Application,"Salesforce, Inc.",2021-11-29,
CRM,1 week,0.05,2022-01-03 00:00:00+08:00,23839.89003436426,25598.442021803767,-6.87,Software - Application,"Salesforce, Inc.",2022-01-03,
CRM,1 week,0.05,2022-02-14 00:00:00+08:00,20586.47899159664,21715.330765527204,-5.2,Software - Application,"Salesforce, Inc.",2022-02-14,
CRM,1 week,0.05,2022-02-28 00:00:00+08:00,20862.496532027744,19773.005592841164,5.51,Software - Application,"Salesforce, Inc.",2022-02-28,
CRM,1 week,0.05,2022-04-11 00:00:00+08:00,19476.59623307828,20572.088080421257,-5.33,Software - Application,"Salesforce, Inc.",2022-04-11,
CRM,1 week,0.05,2022-04-18 00:00:00+08:00,18418.736942980355,19476.59623307828,-5.43,Software - Application,"Salesforce, Inc.",2022-04-18,
CRM,1 week,0.05,2022-05-09 00:00:00+08:00,16475.61090573013,17501.6618635927,-5.86,Software - Application,"Salesforce, Inc.",2022-05-09,
CRM,1 week,0.05,2022-05-30 00:00:00+08:00,17695.17983043284,16004.36680613668,10.56,Software - Application,"Salesforce, Inc.",2022-05-30,
CRM,1 week,0.05,2022-06-06 00:00:00+08:00,18589.263409961688,17695.17983043284,5.05,Software - Application,"Salesforce, Inc.",2022-06-06,
CRM,1 week,0.05,2022-06-13 00:00:00+08:00,16511.445677300046,18589.263409961688,-11.18,Software - Application,"Salesforce, Inc.",2022-06-13,
CRM,1 week,0.05,2022-07-18 00:00:00+08:00,17807.87788131437,16645.972128784237,6.98,Software - Application,"Salesforce, Inc.",2022-07-18,
CRM,1 week,0.05,2022-08-01 00:00:00+08:00,18702.292156862743,17783.57536852116,5.17,Software - Application,"Salesforce, Inc.",2022-08-01,
CRM,1 week,0.05,2022-08-22 00:00:00+08:00,17311.961730449253,18759.57121879589,-7.72,Software - Application,"Salesforce, Inc.",2022-08-22,
CRM,1 week,0.05,2022-08-29 00:00:00+08:00,15767.452972493344,17311.961730449253,-8.92,Software - Application,"Salesforce, Inc.",2022-08-29,
CRM,1 week,0.05,2022-09-19 00:00:00+08:00,14987.18703784254,15820.064606741573,-5.26,Software - Application,"Salesforce, Inc.",2022-09-19,
CRM,1 week,0.05,2022-10-10 00:00:00+08:00,14372.974580335733,15280.071121718376,-5.94,Software - Application,"Salesforce, Inc.",2022-10-10,
CRM,1 week,0.05,2022-10-17 00:00:00+08:00,15441.480537534753,14372.974580335733,7.43,Software - Application,"Salesforce, Inc.",2022-10-17,
CRM,1 week,0.05,2022-10-31 00:00:00+08:00,15278.308357348704,16175.491470723837,-5.55,Software - Application,"Salesforce, Inc.",2022-10-31,
CRM,1 week,0.05,2022-12-05 00:00:00+08:00,13269.778467908904,14949.365705614568,-11.24,Software - Application,"Salesforce, Inc.",2022-12-05,
CRM,1 week,0.05,2023-01-02 00:00:00+08:00,13735.557639271923,13068.202260559192,5.11,Software - Application,"Salesforce, Inc.",2023-01-02,
CRM,1 week,0.05,2023-01-09 00:00:00+08:00,14701.99294221438,13735.557639271923,7.04,Software - Application,"Salesforce, Inc.",2023-01-09,
CRM,1 week,0.05,2023-01-23 00:00:00+08:00,15845.182156133827,14736.842799770511,7.52,Software - Application,"Salesforce, Inc.",2023-01-23,
CRM,1 week,0.05,2023-01-30 00:00:00+08:00,16975.232208029196,15845.182156133827,7.13,Software - Application,"Salesforce, Inc.",2023-01-30,
CRM,1 week,0.05,2023-02-27 00:00:00+08:00,17696.584460765363,16259.035608308604,8.84,Software - Application,"Salesforce, Inc.",2023-02-27,
CRM,1 week,0.05,2023-07-10 00:00:00+08:00,22301.05149425287,21116.415342087075,5.61,Software - Application,"Salesforce, Inc.",2023-07-10,
CRM,1 week,0.05,2023-08-28 00:00:00+08:00,22175.444186046512,20918.667676003028,6.01,Software - Application,"Salesforce, Inc.",2023-08-28,
CRM,1 week,0.05,2023-11-27 00:00:00+08:00,23959.430941358023,22429.35629784273,6.82,Software - Application,"Salesforce, Inc.",2023-11-27,
CRM,1 week,0.05,2024-02-26 00:00:00+08:00,31579.47529411765,28651.460431654676,10.22,Software - Application,"Salesforce, Inc.",2024-02-26,
CRM,1 week,0.05,2024-04-15 00:00:00+08:00,27547.97976470588,29937.895634721524,-7.98,Software - Application,"Salesforce, Inc.",2024-04-15,
CRM,1 week,0.05,2024-05-27 00:00:00+08:00,23954.14210526316,28149.01425061425,-14.9,Software - Application,"Salesforce, Inc.",2024-05-27,
CRM,2 weeks,0.05,2014-03-17 00:00:00+08:00,5735.836341161928,6117.374234573716,-6.24,Software - Application,"Salesforce, Inc.",2014-03-17,
CRM,2 weeks,0.05,2014-04-28 00:00:00+08:00,5132.67560854446,5503.694701429773,-6.74,Software - Application,"Salesforce, Inc.",2014-04-28,
CRM,2 weeks,0.05,2014-06-23 00:00:00+08:00,5798.327180708544,5481.4283625731,5.78,Software - Application,"Salesforce, Inc.",2014-06-23,
CRM,2 weeks,0.05,2014-07-07 00:00:00+08:00,5456.657610062893,5798.327180708544,-5.89,Software - Application,"Salesforce, Inc.",2014-07-07,
CRM,2 weeks,0.05,2014-08-18 00:00:00+08:00,5749.762441937624,5394.238203381276,6.59,Software - Application,"Salesforce, Inc.",2014-08-18,
CRM,2 weeks,0.05,2014-10-27 00:00:00+08:00,6229.6580416032475,5542.317146433042,12.4,Software - Application,"Salesforce, Inc.",2014-10-27,
CRM,2 weeks,0.05,2014-12-22 00:00:00+08:00,6006.220814789456,5651.825361235675,6.27,Software - Application,"Salesforce, Inc.",2014-12-22,
CRM,2 weeks,0.05,2015-02-16 00:00:00+08:00,6474.189001733961,5911.66437659033,9.52,Software - Application,"Salesforce, Inc.",2015-02-16,
CRM,2 weeks,0.05,2015-04-27 00:00:00+08:00,7173.5287912087915,6738.158234383066,6.46,Software - Application,"Salesforce, Inc.",2015-04-27,
CRM,2 weeks,0.05,2015-10-12 00:00:00+08:00,7720.310797174571,7261.1973750631,6.32,Software - Application,"Salesforce, Inc.",2015-10-12,
CRM,2 weeks,0.05,2016-01-11 00:00:00+08:00,7153.807347167694,7565.678195488722,-5.44,Software - Application,"Salesforce, Inc.",2016-01-11,
CRM,2 weeks,0.05,2016-01-25 00:00:00+08:00,6641.893822393822,7153.807347167694,-7.16,Software - Application,"Salesforce, Inc.",2016-01-25,
CRM,2 weeks,0.05,2016-02-08 00:00:00+08:00,5940.83958673192,6641.893822393822,-10.56,Software - Application,"Salesforce, Inc.",2016-02-08,
CRM,2 weeks,0.05,2016-02-22 00:00:00+08:00,6753.692080780576,5940.83958673192,13.68,Software - Application,"Salesforce, Inc.",2016-02-22,
CRM,2 weeks,0.05,2016-03-07 00:00:00+08:00,7147.9262357414445,6753.692080780576,5.84,Software - Application,"Salesforce, Inc.",2016-03-07,
